Timestamp,No. Produksi,No. Seri,Jenis Produk
2024-12-02 16:02:01,4256909,P-32D,Pianika
2024-12-02 16:04:02,43479557,PAC112JL,Gitar Elektrik
2024-12-02 16:07:21,43479450,PAC112VM,Gitar Elektrik
2024-12-02 16:09:38,4361934,BB734A,Bass Elektrik
2024-12-02 16:09:47,4361944,BB735A,Bass Elektrik
2024-12-02 16:09:58,4356778,LNS1455,Snare Drum
2024-12-02 16:10:17,4256905,NTX5,Gitar nilon akustik-elektrik
2024-12-02 16:11:09,4364761,BB234,Bass Elektrik
2024-12-02 16:11:46,4368774,BB434M,Bass Elektrik
2024-12-02 16:11:54,4361734,BB435,Bass Elektrik
2024-12-02 16:12:18,43479856,PAC1611MS,Gitar Elektrik
2024-12-02 16:12:46,4356945,RDP2F5,Drum Akustik
2024-12-02 16:12:53,4356759,SLG200N,Silent Guitar
2024-12-02 16:13:07,4356761,SLG200NW,Silent Guitar
2024-12-02 16:13:12,4356755,SLG200S,Silent Guitar
2024-12-02 16:13:18,55479856,YOB-831,Oboes
2024-12-02 16:13:25,55479858,YOB-832,Oboes
2024-12-02 16:13:33,4256907,YRS-23 (German),Recorders
2024-12-02 16:13:54,4256908,YRS-24B (Baroque),Recorders
2024-12-02 16:14:00,4256901,YTR-8445,C Trumpets
2024-12-02 16:14:07,4256903,YTR-8445G,C Trumpets
2024-12-02 16:14:14,4256902,YTR-8445GS,C Trumpets
2024-12-02 16:14:24,4256900,YTR-8445S,C Trumpets
