Timestamp,No. Produksi,No. Seri,Jenis Produk
2024-12-02 18:07:59,4361934,BB734A,Bass Elektrik
2024-12-02 18:08:08,4361944,BB735A,Bass Elektrik
2024-12-02 18:08:21,4356778,LNS1455,Snare Drum
2024-12-02 18:08:36,4256906,NCX5,gitar akustik-elektrik
2024-12-02 18:08:46,4256905,NTX5,Gitar nilon akustik-elektrik
2024-12-02 18:09:17,4364761,BB234,Bass Elektrik
2024-12-02 18:09:30,4364765,BB235,Bass Elektrik
2024-12-02 18:10:05,4368764,BB434,Bass Elektrik
2024-12-02 18:10:12,4368774,BB434M,Bass Elektrik
2024-12-02 18:10:16,4361734,BB435,Bass Elektrik
2024-12-02 18:10:48,43479553,PACIFICA112J,Gitar Elektrik
2024-12-02 18:10:54,4256904,PSR-EW425,Portable Keyboard
2024-12-02 18:11:00,4356945,RDP2F5,Drum Akustik
2024-12-02 18:11:05,4356759,SLG200N,Silent Guitar
2024-12-02 18:11:17,4256908,YRS-24B (Baroque),Recorders
2024-12-02 18:11:32,4256901,YTR-8445,C Trumpets
2024-12-02 18:11:40,4256903,YTR-8445G,C Trumpets
2024-12-02 18:11:47,4256902,YTR-8445GS,C Trumpets
2024-12-02 18:11:53,4256900,YTR-8445S,C Trumpets
2024-12-02 18:12:13,4256909,P-32D,Pianika
2024-12-02 18:12:19,43479557,PAC112JL,Gitar Elektrik
2024-12-02 18:12:56,43479450,PAC112VM,Gitar Elektrik
2024-12-02 18:13:31,4356761,SLG200NW,Silent Guitar
2024-12-02 18:13:39,4356755,SLG200S,Silent Guitar
2024-12-02 18:13:44,55479856,YOB-831,Oboes
2024-12-02 18:14:00,55479858,YOB-832,Oboes
2024-12-02 18:14:05,4256907,YRS-23 (German),Recorders
