Timestamp,No. Produksi,No. Seri,Jenis Produk
2024-12-02 17:42:19,4361934,BB734A,Bass Elektrik
2024-12-02 17:42:24,4361944,BB735A,Bass Elektrik
2024-12-02 17:42:26,4356778,LNS1455,Snare Drum
2024-12-02 17:42:28,4256906,NCX5,gitar akustik-elektrik
2024-12-02 17:42:34,4256905,NTX5,Gitar nilon akustik-elektrik
2024-12-02 17:42:59,4364761,BB234,Bass Elektrik
2024-12-02 17:43:02,4364765,BB235,Bass Elektrik
2024-12-02 17:43:05,4368764,BB434,Bass Elektrik
2024-12-02 17:43:08,4368774,BB434M,Bass Elektrik
2024-12-02 17:43:11,4361734,BB435,Bass Elektrik
2024-12-02 17:43:21,43479856,PAC1611MS,Gitar Elektrik
2024-12-02 17:43:23,43479553,PACIFICA112J,Gitar Elektrik
2024-12-02 17:43:28,4256904,PSR-EW425,Portable Keyboard
2024-12-02 17:43:35,4356945,RDP2F5,Drum Akustik
2024-12-02 17:43:45,4356759,SLG200N,Silent Guitar
2024-12-02 17:43:54,4256908,YRS-24B (Baroque),Recorders
2024-12-02 17:43:56,4256901,YTR-8445,C Trumpets
2024-12-02 17:43:59,4256903,YTR-8445G,C Trumpets
2024-12-02 17:44:02,4256902,YTR-8445GS,C Trumpets
2024-12-02 17:44:05,4256900,YTR-8445S,C Trumpets
2024-12-02 17:44:15,4256909,P-32D,Pianika
2024-12-02 17:44:18,43479557,PAC112JL,Gitar Elektrik
2024-12-02 17:44:56,4347944,PAC112V,Gitar Elektrik
2024-12-02 17:45:20,43479450,PAC112VM,Gitar Elektrik
2024-12-02 17:45:25,43479453,PAC112VMX,Gitar Elektrik
2024-12-02 17:45:33,4356761,SLG200NW,Silent Guitar
2024-12-02 17:45:36,4356755,SLG200S,Silent Guitar
2024-12-02 17:45:42,55479856,YOB-831,Oboes
2024-12-02 17:45:44,55479858,YOB-832,Oboes
2024-12-02 17:45:47,4256907,YRS-23 (German),Recorders
