Timestamp,No. Produksi,No. Seri,Jenis Produk
2024-12-02 16:24:01,4256909,P-32D,Pianika
2024-12-02 16:24:04,43479557,PAC112JL,Gitar Elektrik
2024-12-02 16:24:08,4347944,PAC112V,Gitar Elektrik
2024-12-02 16:24:41,43479450,PAC112VM,Gitar Elektrik
2024-12-02 16:24:45,43479453,PAC112VMX,Gitar Elektrik
2024-12-02 16:25:04,4361934,BB734A,Bass Elektrik
2024-12-02 16:25:07,4361944,BB735A,Bass Elektrik
2024-12-02 16:25:10,4356778,LNS1455,Snare Drum
2024-12-02 16:25:13,4256906,NCX5,gitar akustik-elektrik
2024-12-02 16:25:17,4256905,NTX5,Gitar nilon akustik-elektrik
2024-12-02 16:25:32,4364761,BB234,Bass Elektrik
2024-12-02 16:25:36,4364765,BB235,Bass Elektrik
2024-12-02 16:25:40,4368764,BB434,Bass Elektrik
2024-12-02 16:25:43,4368774,BB434M,Bass Elektrik
2024-12-02 16:25:48,4361734,BB435,Bass Elektrik
2024-12-02 16:26:02,43479856,PAC1611MS,Gitar Elektrik
2024-12-02 16:26:07,43479553,PACIFICA112J,Gitar Elektrik
2024-12-02 16:26:11,4256904,PSR-EW425,Portable Keyboard
2024-12-02 16:26:16,4356945,RDP2F5,Drum Akustik
2024-12-02 16:26:20,4356759,SLG200N,Silent Guitar
2024-12-02 16:26:35,4356761,SLG200NW,Silent Guitar
2024-12-02 16:26:39,4356755,SLG200S,Silent Guitar
2024-12-02 16:26:41,55479856,YOB-831,Oboes
2024-12-02 16:26:44,55479858,YOB-832,Oboes
2024-12-02 16:26:48,4256907,YRS-23 (German),Recorders
2024-12-02 16:27:01,4256908,YRS-24B (Baroque),Recorders
2024-12-02 16:27:03,4256901,YTR-8445,C Trumpets
2024-12-02 16:27:05,4256903,YTR-8445G,C Trumpets
2024-12-02 16:27:07,4256902,YTR-8445GS,C Trumpets
2024-12-02 16:27:09,4256900,YTR-8445S,C Trumpets
